unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value
979194,1427,Fine particles (PM 2.5),Winter mean,mcg/m3,UHF34,104,Pelham - Throgs Neck,2024,2024-01-01T00:00:00.000,5.83457178
980097,1431,Nitrogen dioxide (NO2),Annual mean,ppb,UHF34,304,Upper West Side,2024,2024-01-01T00:00:00.000,18.2887298
980098,1431,Nitrogen dioxide (NO2),Annual mean,ppb,UHF34,303,East Harlem,2024,2024-01-01T00:00:00.000,16.18484858
980099,1431,Nitrogen dioxide (NO2),Annual mean,ppb,UHF34,302,Central Harlem - Morningside Heights,2024,2024-01-01T00:00:00.000,16.52182254
980100,1431,Nitrogen dioxide (NO2),Annual mean,ppb,UHF34,301,Washington Heights,2024,2024-01-01T00:00:00.000,16.26455212
980101,1431,Nitrogen dioxide (NO2),Annual mean,ppb,UHF34,211,Williamsburg - Bushwick,2024,2024-01-01T00:00:00.000,15.82250175
980102,1431,Nitrogen dioxide (NO2),Annual mean,ppb,UHF34,210,Coney Island - Sheepshead Bay,2024,2024-01-01T00:00:00.000,12.24254166
980103,1431,Nitrogen dioxide (NO2),Annual mean,ppb,UHF34,209,Bensonhurst - Bay Ridge,2024,2024-01-01T00:00:00.000,14.07524578
980104,1431,Nitrogen dioxide (NO2),Annual mean,ppb,UHF34,208,Canarsie - Flatlands,2024,2024-01-01T00:00:00.000,12.39451621
980105,1431,Nitrogen dioxide (NO2),Annual mean,ppb,UHF34,207,East Flatbush - Flatbush,2024,2024-01-01T00:00:00.000,14.38788376
980106,1431,Nitrogen dioxide (NO2),Annual mean,ppb,UHF34,206,Borough Park,2024,2024-01-01T00:00:00.000,14.45318989
980107,1431,Nitrogen dioxide (NO2),Annual mean,ppb,UHF34,205,Sunset Park,2024,2024-01-01T00:00:00.000,16.09619041
980108,1431,Nitrogen dioxide (NO2),Annual mean,ppb,UHF34,204,East New York,2024,2024-01-01T00:00:00.000,14.57567849
980109,1431,Nitrogen dioxide (NO2),Annual mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,2024,2024-01-01T00:00:00.000,15.51359309
980110,1431,Nitrogen dioxide (NO2),Annual mean,ppb,UHF34,202,Downtown - Heights - Slope,2024,2024-01-01T00:00:00.000,17.10405267
980111,1431,Nitrogen dioxide (NO2),Annual mean,ppb,UHF34,201,Greenpoint,2024,2024-01-01T00:00:00.000,16.90893702
980112,1431,Nitrogen dioxide (NO2),Annual mean,ppb,UHF34,104,Pelham - Throgs Neck,2024,2024-01-01T00:00:00.000,14.42951043
980113,1431,Nitrogen dioxide (NO2),Annual mean,ppb,UHF34,103,Fordham - Bronx Pk,2024,2024-01-01T00:00:00.000,14.14232526
980114,1431,Nitrogen dioxide (NO2),Annual mean,ppb,UHF34,102,Northeast Bronx,2024,2024-01-01T00:00:00.000,13.98252811
980115,1431,Nitrogen dioxide (NO2),Annual mean,ppb,UHF34,101,Kingsbridge - Riverdale,2024,2024-01-01T00:00:00.000,13.50595126
980116,1433,Nitrogen dioxide (NO2),Winter mean,ppb,CD,403,Jackson Heights (CD3),2024,2024-01-01T00:00:00.000,20.58357781
980117,1433,Nitrogen dioxide (NO2),Winter mean,ppb,CD,404,Elmhurst and Corona (CD4),2024,2024-01-01T00:00:00.000,21.35168929
980118,1433,Nitrogen dioxide (NO2),Winter mean,ppb,CD,405,Ridgewood and Maspeth (CD5),2024,2024-01-01T00:00:00.000,20.92273855
980119,1433,Nitrogen dioxide (NO2),Winter mean,ppb,CD,406,Rego Park and Forest Hills (CD6),2024,2024-01-01T00:00:00.000,20.79967544
980120,1433,Nitrogen dioxide (NO2),Winter mean,ppb,CD,407,Flushing and Whitestone (CD7),2024,2024-01-01T00:00:00.000,19.59835762
980121,1433,Nitrogen dioxide (NO2),Winter mean,ppb,CD,408,Hillcrest and Fresh Meadows (CD8),2024,2024-01-01T00:00:00.000,20.01589468
980122,1433,Nitrogen dioxide (NO2),Winter mean,ppb,CD,409,Kew Gardens and Woodhaven (CD9),2024,2024-01-01T00:00:00.000,20.62176821
980123,1433,Nitrogen dioxide (NO2),Winter mean,ppb,CD,410,South Ozone Park and Howard Beach (CD10),2024,2024-01-01T00:00:00.000,19.39511418
980124,1433,Nitrogen dioxide (NO2),Winter mean,ppb,CD,411,Bayside and Little Neck (CD11),2024,2024-01-01T00:00:00.000,19.45877873
980554,1435,Ozone (O3),Summer mean,ppb,CD,503,Tottenville and Great Kills (CD3),2024,2024-01-01T00:00:00.000,34.20650959
980553,1435,Ozone (O3),Summer mean,ppb,CD,502,South Beach and Willowbrook (CD2),2024,2024-01-01T00:00:00.000,33.43066386
980552,1435,Ozone (O3),Summer mean,ppb,CD,501,St. George and Stapleton (CD1),2024,2024-01-01T00:00:00.000,32.30501081
980551,1435,Ozone (O3),Summer mean,ppb,CD,414,Rockaway and Broad Channel (CD14),2024,2024-01-01T00:00:00.000,38.44312178
980550,1435,Ozone (O3),Summer mean,ppb,CD,413,Queens Village (CD13),2024,2024-01-01T00:00:00.000,35.87566759
980549,1435,Ozone (O3),Summer mean,ppb,CD,412,Jamaica and Hollis (CD12),2024,2024-01-01T00:00:00.000,35.49967545
980548,1435,Ozone (O3),Summer mean,ppb,CD,411,Bayside and Little Neck (CD11),2024,2024-01-01T00:00:00.000,34.07478247
980547,1435,Ozone (O3),Summer mean,ppb,CD,410,South Ozone Park and Howard Beach (CD10),2024,2024-01-01T00:00:00.000,36.06666739
980546,1435,Ozone (O3),Summer mean,ppb,CD,409,Kew Gardens and Woodhaven (CD9),2024,2024-01-01T00:00:00.000,34.8744291
980545,1435,Ozone (O3),Summer mean,ppb,CD,408,Hillcrest and Fresh Meadows (CD8),2024,2024-01-01T00:00:00.000,33.98658579
980544,1435,Ozone (O3),Summer mean,ppb,CD,407,Flushing and Whitestone (CD7),2024,2024-01-01T00:00:00.000,34.52479951
980543,1435,Ozone (O3),Summer mean,ppb,CD,406,Rego Park and Forest Hills (CD6),2024,2024-01-01T00:00:00.000,33.69067818
980542,1435,Ozone (O3),Summer mean,ppb,CD,405,Ridgewood and Maspeth (CD5),2024,2024-01-01T00:00:00.000,34.56599735
980541,1435,Ozone (O3),Summer mean,ppb,CD,404,Elmhurst and Corona (CD4),2024,2024-01-01T00:00:00.000,33.90433942
980540,1435,Ozone (O3),Summer mean,ppb,CD,403,Jackson Heights (CD3),2024,2024-01-01T00:00:00.000,33.99961094
980539,1435,Ozone (O3),Summer mean,ppb,CD,402,Woodside and Sunnyside (CD2),2024,2024-01-01T00:00:00.000,33.72692032
980538,1435,Ozone (O3),Summer mean,ppb,CD,401,Long Island City and Astoria (CD1),2024,2024-01-01T00:00:00.000,34.06038425
980537,1435,Ozone (O3),Summer mean,ppb,CD,318,Flatlands and Canarsie (CD18),2024,2024-01-01T00:00:00.000,36.19027256
980536,1435,Ozone (O3),Summer mean,ppb,CD,317,East Flatbush (CD17),2024,2024-01-01T00:00:00.000,34.80454314
980535,1435,Ozone (O3),Summer mean,ppb,CD,316,Brownsville (CD16),2024,2024-01-01T00:00:00.000,34.39508323
