indicator_id,name,geo_type_name,measure,geo_join_id,data_value
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),101,88.3
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),102,152.6
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),103,167.2
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),104,162.5
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),105,257.1
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),106,308
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),107,278.6
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),201,60.8
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),202,99.3
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),203,195.4
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),204,175.6
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),205,47
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),206,14.7
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),207,111.9
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),208,91.9
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),209,19.7
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),210,38.4
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),211,185.7
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),301,175.9
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),302,424.7
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),303,354.2
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),304,113.2
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),305,39
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),306,139.1
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),307,61.7
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),308,25.6
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),309,124.9
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),310,71.6
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),401,71.2
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),402,89.3
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),403,48.7
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),404,26.7
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),405,51
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),406,54.8
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),407,81.4
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),408,113.6
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),409,73.8
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),410,152.7
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),501,106.9
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),502,82.4
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),503,30.2
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),504,24
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),101,60.7
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),102,73.4
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),103,122.8
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),104,121.9
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),105,200.2
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),106,249.3
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),107,251.3
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),201,59.6
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),202,89.1
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),203,178.4
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),204,153.2
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),205,51.3
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),206,19.5
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),207,115.8
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),208,81.7
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),209,20.7
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),210,35.1
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),211,184.6
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),301,138.5
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),302,291.1
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),303,299.4
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),304,74.2
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),305,35.5
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),306,88.6
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),307,69.7
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),308,24.5
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),309,151.9
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),310,57.2
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),401,79.4
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),402,75.2
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),403,38
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),404,22.1
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),405,51.1
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),406,47.7
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),407,80
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),408,115.8
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),409,70.5
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),410,111.8
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),501,92
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),502,76.1
