borough,geo_place_name,zip_code,time_period,pm25,no2,ozone,aqi,purpleair_pm25,truck_vmt,asthma_er_rate,cardiovascular_hosp_rate,respiratory_hosp_rate,pm25_deaths,asthma_ed_rate,cardiovascular_ed_rate,respiratory_ed_rate,population
Bronx,Bronx,,2005,,,,,,3.472806,,,,,,,,
Bronx,Bronx,,2005-2007,,,,,,,212.5,31.3,30.8,76.5,,,,
Bronx,Bronx,,2009,11.05,24.52,25.3,,,,,,,,,,,
Bronx,Bronx,,2009-2011,,,,,,,128.2,18.8,20.6,55.0,,,,
Bronx,Bronx,,2010,10.14,22.16,33.16,,,4.207102,,,,,,,,
Bronx,Bronx,,2011,10.82,22.73,32.91,,,,,,,,,,,
Bronx,Bronx,,2012,9.54,20.99,34.61,,,,,,,,,,,
Bronx,Bronx,,2012-2014,,,,,,,183.6368757,15.4880937,17.97804125,47.28916419,,,,
Bronx,Bronx,,2013,9.1,19.86,31.25,,,,,,,,,,,
Bronx,Bronx,,2014,9.27,19.8,31.15,,,,,,,,,,,
Bronx,Bronx,,2015,9.24,19.97,30.39,,,,,,,,,,,
Bronx,Bronx,,2015-2017,,,,,,,146.9,21.0,19.6,44.4,,,,
Bronx,Bronx,,2016,7.75,18.42,33.09,,,,,,,,,,,
Bronx,Bronx,,2017,7.72,19.35,28.85,,,,,,,,,,,
Bronx,Bronx,,2017-2019,,,,,,,108.0,12.0,12.0,37.0,,,,
Bronx,Bronx,,2018,7.25,17.73,30.78,,,,,,,,,,,
Bronx,Bronx,,2019,6.91,16.01,29.87,,,5.077953,,,,,,,,
Bronx,Bronx,,2020,6.11,17.1,30.85,,,,,,,,,,,
Bronx,Bronx,,2021,6.644257031,16.54096158,29.84281447,,,,,,,,,,,
Bronx,Bronx,,2022,6.101699156,16.00255405,32.24398188,,,,,,,,,,,
Bronx,Bronx,,2023,6.904676852,15.75835985,33.22314544,,,,,,,,,,,
Bronx,Bronx,,2024,6.394098127,14.61768892,33.68310507,,,,,,,,,,,
Citywide,New York City,,2005,,,,,,2.606503,,,,,,,,
Citywide,New York City,,2005-2007,,,,,,,126.3,25.7,19.8,64.7,,,,
Citywide,New York City,,2009,10.43,22.72,26.0,,,,,,,,,,,
Citywide,New York City,,2009-2011,,,,,,,106.8,17.8,14.1,48.2,,,,
Citywide,New York City,,2010,9.54,21.11,33.68,,,2.408383,,,,,,,,
Citywide,New York City,,2011,10.1,21.58,33.1,,,,,,,,,,,
Citywide,New York City,,2012,8.95,19.58,33.83,,,,,,,,,,,
Citywide,New York City,,2012-2014,,,,,,,97.8,13.17315564,11.7,40.6,,,,
Citywide,New York City,,2013,8.63,18.83,30.99,,,,,,,,,,,
Citywide,New York City,,2014,8.93,18.89,31.37,,,,,,,,,,,
Citywide,New York City,,2015,8.5604,18.396,31.8377,,,,,,,,,,,
Citywide,New York City,,2015-2017,,,,,,,78.2,17.0,11.8,37.7,,,,
Citywide,New York City,,2016,7.45,17.58,33.82,,,,,,,,,,,
Citywide,New York City,,2017,7.38,17.77,29.54,,,,,,,,,,,
Citywide,New York City,,2017-2019,,,,,,,62.0,10.0,7.0,33.0,,,,
Citywide,New York City,,2018,7.0,17.0,30.56,,,,,,,,,,,
Citywide,New York City,,2019,6.6,15.59,30.55,,,3.162005,,,,,,,,
Citywide,New York City,,2020,6.06,15.17,29.84,,,,,,,,,,,
Citywide,New York City,,2021,6.538726113,15.67989723,30.17671261,,,,,,,,,,,
Citywide,New York City,,2022,5.762955083,14.72587893,34.07894297,,,,,,,,,,,
Citywide,New York City,,2023,6.659279692,15.51087278,35.53951634,,,,,,,,,,,
Citywide,New York City,,2024,6.255051193,14.11295099,33.98700067,,,,,,,,,,,
Brooklyn,Brooklyn,,2005,,,,,,2.795932,,,,,,,,
Brooklyn,Brooklyn,,2005-2007,,,,,,,99.3,29.3,19.6,67.8,,,,
Brooklyn,Brooklyn,,2009,10.5,24.11,26.27,,,,,,,,,,,
Brooklyn,Brooklyn,,2009-2011,,,,,,,93.1,20.6,13.3,50.1,,,,
Brooklyn,Brooklyn,,2010,9.69,22.7,33.83,,,1.975673,,,,,,,,
Brooklyn,Brooklyn,,2011,10.2,22.84,33.19,,,,,,,,,,,
Brooklyn,Brooklyn,,2012,9.02,20.56,33.89,,,,,,,,,,,
Brooklyn,Brooklyn,,2012-2014,,,,,,,81.78754548,14.80425168,11.53145289,40.96010859,,,,
Brooklyn,Brooklyn,,2013,8.7,19.92,31.13,,,,,,,,,,,
Brooklyn,Brooklyn,,2014,9.09,19.95,31.29,,,,,,,,,,,
Brooklyn,Brooklyn,,2015,8.74,19.29,32.48,,,,,,,,,,,
Brooklyn,Brooklyn,,2015-2017,,,,,,,62.5,18.2,10.5,38.3,,,,
Brooklyn,Brooklyn,,2016,7.76,18.48,33.98,,,,,,,,,,,
Brooklyn,Brooklyn,,2017,7.52,18.46,30.26,,,,,,,,,,,
Brooklyn,Brooklyn,,2017-2019,,,,,,,54.0,11.0,7.0,35.0,,,,
Brooklyn,Brooklyn,,2018,7.19,17.83,30.87,,,,,,,,,,,
Brooklyn,Brooklyn,,2019,6.66,16.53,31.07,,,2.673921,,,,,,,,
Brooklyn,Brooklyn,,2020,6.12,16.0,29.69,,,,,,,,,,,
Brooklyn,Brooklyn,,2021,6.6345102,16.68091536,30.46097144,,,,,,,,,,,
Brooklyn,Brooklyn,,2022,5.806389358,15.42809652,34.69230514,,,,,,,,,,,
Brooklyn,Brooklyn,,2023,6.730894136,16.61819734,36.81153782,,,,,,,,,,,
Brooklyn,Brooklyn,,2024,6.44440309,14.55374121,34.21422558,,,,,,,,,,,
Manhattan,Manhattan,,2005,,,,,,6.242864,,,,,,,,
Manhattan,Manhattan,,2005-2007,,,,,,,179.4,22.4,18.3,64.0,,,,
Manhattan,Manhattan,,2009,12.63,33.89,20.44,,,,,,,,,,,
Manhattan,Manhattan,,2009-2011,,,,,,,144.3,15.0,12.6,50.0,,,,
Manhattan,Manhattan,,2010,11.61,30.58,28.21,,,5.273241,,,,,,,,
Manhattan,Manhattan,,2011,11.94,30.96,27.27,,,,,,,,,,,
Manhattan,Manhattan,,2012,10.92,28.74,29.21,,,,,,,,,,,
Manhattan,Manhattan,,2012-2014,,,,,,,116.6520415,12.26170084,10.94017672,44.02314672,,,,
Manhattan,Manhattan,,2013,10.73,28.02,26.33,,,,,,,,,,,
Manhattan,Manhattan,,2014,10.85,26.7,27.0,,,,,,,,,,,
Manhattan,Manhattan,,2015,10.19,25.18,27.77,,,,,,,,,,,
Manhattan,Manhattan,,2015-2017,,,,,,,93.5,14.6,9.6,38.0,,,,
Manhattan,Manhattan,,2016,8.97,24.35,30.3,,,,,,,,,,,
Manhattan,Manhattan,,2017,8.72,24.55,25.33,,,,,,,,,,,
Manhattan,Manhattan,,2017-2019,,,,,,,71.0,9.0,6.0,33.0,,,,
Manhattan,Manhattan,,2018,8.46,23.43,26.98,,,,,,,,,,,
Manhattan,Manhattan,,2019,8.31,21.71,25.85,,,7.307251,,,,,,,,
Manhattan,Manhattan,,2020,7.16,20.54,28.77,,,,,,,,,,,
Manhattan,Manhattan,,2021,7.406968016,19.96942812,27.85870965,,,,,,,,,,,
Manhattan,Manhattan,,2022,6.964430444,19.05686321,30.17543692,,,,,,,,,,,
Manhattan,Manhattan,,2023,7.306428575,19.52330736,30.17314447,,,,,,,,,,,
Manhattan,Manhattan,,2024,7.712711937,18.63149789,30.4729769,,,,,,,,,,,
Queens,Queens,,2005,,,,,,2.238298,,,,,,,,
Queens,Queens,,2005-2007,,,,,,,80.8,21.8,15.7,54.8,,,,
Queens,Queens,,2009,10.05,22.19,26.85,,,,,,,,,,,
Queens,Queens,,2009-2011,,,,,,,74.8,15.8,11.4,40.5,,,,
Queens,Queens,,2010,9.2,21.01,34.07,,,2.115043,,,,,,,,
Queens,Queens,,2011,9.75,21.47,33.72,,,,,,,,,,,
Queens,Queens,,2012,8.63,19.41,34.5,,,,,,,,,,,
Queens,Queens,,2012-2014,,,,,,,53.18777487,11.06004901,8.683621096,32.76291581,,,,
Queens,Queens,,2013,8.36,18.71,31.6,,,,,,,,,,,
Queens,Queens,,2014,8.6,18.93,32.43,,,,,,,,,,,
Queens,Queens,,2015,8.35,18.51,32.36,,,,,,,,,,,
Queens,Queens,,2015-2017,,,,,,,47.3,15.5,9.6,31.4,,,,
Queens,Queens,,2016,7.17,17.65,33.98,,,,,,,,,,,
Queens,Queens,,2017,7.19,17.85,30.83,,,,,,,,,,,
Queens,Queens,,2017-2019,,,,,,,40.0,8.0,5.0,27.0,,,,
Queens,Queens,,2018,6.82,17.18,31.46,,,,,,,,,,,
Queens,Queens,,2019,6.47,15.66,32.18,,,2.786516,,,,,,,,
Queens,Queens,,2020,6.06,14.82,30.52,,,,,,,,,,,
Queens,Queens,,2021,6.477947053,15.46265071,30.93718378,,,,,,,,,,,
Queens,Queens,,2022,5.69532372,14.91358384,34.45706382,,,,,,,,,,,
Queens,Queens,,2023,6.629774049,15.47035273,36.99164687,,,,,,,,,,,
Queens,Queens,,2024,5.945005842,13.98528739,34.97566335,,,,,,,,,,,
Staten Island,Staten Island,,2005,,,,,,1.003621,,,,,,,,
Staten Island,Staten Island,,2005-2007,,,,,,,55.3,25.2,17.5,70.7,,,,
Staten Island,Staten Island,,2009,9.81,16.84,26.72,,,,,,,,,,,
Staten Island,Staten Island,,2009-2011,,,,,,,50.5,16.3,14.2,51.7,,,,
Staten Island,Staten Island,,2010,8.8,15.35,35.17,,,1.053687,,,,,,,,
Staten Island,Staten Island,,2011,9.44,16.17,34.16,,,,,,,,,,,
Staten Island,Staten Island,,2012,8.35,14.54,33.77,,,,,,,,,,,
