sensor_index,last_seen,name,latitude,longitude,humidity,temperature,pm2.5,pm2.5_10minute,pm2.5_30minute,pm2.5_60minute
4803,1782743765,West 90th Street near CPW,40.787937,-73.96807,55.0,88.0,21.2,18.1,15.7,14.7
269010,1782744004,Clinton Ave Firehouse,40.72157,-74.19295,45.0,86.0,25.7,24.8,23.8,24.0
269022,1782744014,Engine 19,40.70281,-74.19477,30.0,97.0,23.2,24.0,23.1,23.4
269040,1782744020,Club Eclipse,40.715973,-74.22197,36.0,89.0,21.9,22.6,22.2,22.7
271321,1782744007,RWJ Fitness &amp; Wellness: Carteret,40.57837,-74.2196,30.0,95.0,21.9,23.0,22.3,22.3
276266,1782744012,Crown St bet Bedford &amp; Rogers Aves,40.666515,-73.95539,37.0,91.0,24.5,24.3,24.6,24.0
284144,1782743969,Front garden,40.719227,-74.0478,46.0,88.0,23.1,23.0,24.8,25.5
284972,1782743976,LESBreathe1,40.713257,-73.97851,61.0,94.0,22.1,21.2,21.1,20.4
285560,1782743968,Flushing 42,40.756435,-73.82577,44.0,87.0,26.1,24.4,25.4,26.1
24311,1782744033,Forest Hills,40.7117,-73.84475,54.0,92.0,0.0,0.0,0.0,0.0
287862,1782743927,NASA_AERONET_CCNY,40.821,-73.949,41.0,93.0,19.2,18.7,19.4,20.7
288406,1782743994,casa,40.68475,-73.97376,43.0,87.0,21.3,21.8,22.8,22.7
289320,1782743977,Roof,40.726334,-73.94194,,,15.7,16.9,18.2,18.5
290360,1782743961,Blissville,40.734013,-73.93703,38.0,91.0,27.7,29.3,30.5,29.7
28285,1782744006,Southwest Hoboken,40.736893,-74.04125,37.0,91.0,14.5,13.9,14.3,15.3
290906,1782743930,Bay Ridge,40.62045,-74.04003,23.0,113.0,14.7,16.2,18.2,20.1
29183,1782744031,Hells Kitchen,40.763924,-73.98655,,,16.2,16.0,16.4,17.1
293913,1782744013,"Elmhurst, near hospital",40.744663,-73.883766,38.0,97.0,21.5,20.7,22.1,22.6
295845,1782743987,Senate Gardens,40.751877,-73.8841,42.0,88.0,23.8,23.9,24.9,25.4
37185,1782743941,NBN - Bushwick and McKibbin,40.705246,-73.9394,45.0,94.0,4.3,4.8,4.6,4.1
301485,1782563652,KSCASA126,40.746037,-73.865074,46.0,83.0,14.9,15.0,16.9,18.9
301487,1782743971,KSQBG126,40.750484,-73.828606,36.0,95.0,25.3,25.1,26.0,26.7
301601,1782744008,Hope and Havemeyer,40.713326,-73.95635,40.0,91.0,23.7,25.0,24.8,23.5
305438,1782374886,The Dalton School,40.78137,-73.955086,36.0,81.0,5.9,17.6,27.0,27.0
308590,1782667032,Cobble Hill 001,40.68524,-73.996765,46.0,84.0,26.3,42.7,43.0,42.3
47699,1782744031,Trudy Drive Lodi NJ,40.88606,-74.073456,30.0,104.0,1.2,0.9,0.8,0.6
314965,1782744032,HOOD alliance,40.738194,-73.8625,17.0,119.0,19.6,22.0,25.5,27.0
68313,1782743956,Dodd House,40.82101,-74.20403,,,16.0,16.6,16.2,15.8
81785,1782744033,RGBIV,40.695778,-73.99408,45.0,86.0,21.7,22.5,24.8,25.9
87557,1782744019,11105,40.77808,-73.91492,40.0,91.0,19.3,17.7,17.3,18.1
88439,1782744026,LESBreathe2,40.721226,-73.97974,41.0,88.0,21.3,18.5,18.6,17.9
89957,1782743990,FA-O5,40.792336,-73.94736,40.0,92.0,10.3,13.0,13.4,13.8
90145,1782744015,Crown View Villas,40.8008,-74.24332,74.0,79.0,21.1,21.4,21.1,20.8
90249,1782743917,FreshAir-O4,40.861225,-73.89016,80.0,88.0,0.0,0.0,0.0,0.0
90283,1782742405,SIS-roof,40.81536,-73.888374,,,19.3,25.2,28.1,31.0
91441,1782743953,SITHS256O,40.56849,-74.11661,42.0,92.0,17.8,18.3,17.8,18.1
92169,1782743981,FA-CTKo,40.837517,-73.91544,,,16.5,16.3,16.2,16.3
92171,1782743985,FreshAir-O1,40.860455,-73.88581,100.0,86.0,20.4,16.3,15.2,15.1
94957,1782743934,Bonnell House,40.663574,-74.209015,39.0,92.0,0.0,0.0,0.0,0.0
101561,1782743945,LESBreathe3,40.72624,-73.976364,44.0,87.0,21.8,20.6,20.5,19.6
118711,1782744016,NGT Monitor 2,40.707752,-74.220856,43.0,86.0,20.4,20.7,21.2,21.2
121261,1782744029,NGT Monitor 11,40.733772,-74.2079,40.0,91.0,21.9,22.6,22.2,22.6
131429,1782744027,Hawthorne Deli,40.720783,-74.21691,81.0,88.0,20.4,21.2,21.2,21.6
133672,1782743999,Chelsea flea,40.744267,-73.99171,,,25.7,21.4,21.0,21.0
135148,1782743928,Riverdale,40.910847,-73.90167,,,13.0,12.2,11.1,11.1
